byline,TAG,TAG,TAG,TAG
@BBC_Joe_Lynam,M,PI,Journalism,
@ITVJoel,M,PI,Journalism,
@joeyjonessky,M,PI,Journalism,
@johannhari101,M,PI,Writer,
@JohnRentoul,M,PI,Journalism,
@JPonpolitics,M,PI,Journalism,
@johnvanreenen,M,PI,Economist,
@johnprescott,M,PI,Politician,
@jonsnowC4,M,PI,Journalism,
@JCalvertST,M,PI,Journalism,
@Freedland,M,PI,Journalism,
@jdportes,M,PI,Economist,
@JonathanHaynes,M,PI,Journalism,
@isaby,M,PI,thinktank,
@jonhew,M,PI,Academic,
@JoshHalliday,M,PI,Journalism,
@KayBurley,F,PI,Journalism,
@KeirSimmons,M,PI,Journalism,
@ken4london,M,PI,Politician,Labour
@Kevin_Maguire,M,PI,Journalism,
@schofieldkevin,M,PI,Journalism,
@kiranstacey,M,PI,Journalism,
@krishgm,M,PI,Journalism,
@bbclaurak,F,PI,Journalism,
@PennyRed,F,PI,Journalism,
@PSbookEditor,M,PI,Journalism,
@lionelbarber,M,PI,Journalism,
@LouiseMensch,F,PI,Journalism,Conservative
@LouiseRidley,F,PI,Journalism,
@lucymanning,F,PI,Journalism,
@MagsNews,M,PI,Journalism,
@mrmarksteel,M,PI,Comedian,
@Markfergusonuk,M,PI,Journalism,
@MarkReckons,M,PI,Journalism,
@skymarkwhite,M,PI,Journalism,
@wallaceme,M,PI,Journalism,
@markdevenport,M,PI,Journalism,
@markpack,M,PI,publicrelations,
@Marthakearney,F,PI,Journalism,
@Marthalanefox,F,PI,Business,
@martinbright,M,PI,Journalism,
@MattChorley,M,PI,Journalism,
@matthaig1,M,PI,Writer,
@MatthewAncona,M,PI,Journalism,
@RSAMatthew,M,PI,Charity,
@GoodwinMJ,M,PI,Academic,
@mattholehouse,M,PI,Journalism,
@mehdirhasan,M,PI,Journalism,
@Melissa_Benn,F,PI,Journalism,
@LordAshcroft,M,PI,Business,Conservative
@MichaelLCrick,M,PI,Journalism,
@michaelsavage,M,PI,Journalism,
@MichaelPDeacon,M,PI,Journalism,
@MSmithsonPB,M,PI,Blogging,
@MishalHusainBBC,F,PI,Journalism,
@MohammedAbbas79,M,PI,Journalism,
@nmalinarich,F,PI,Journalism,
@nedsimons,M,PI,Journalism,
@nmcintosh,M,PI,Journalism,
@skynewsniall,M,PI,Journalism,
@nicholaswatt,M,PI,Journalism,
@bbcnickrobinson,M,PI,Journalism,
